Keyword,Layout,LoggingLibrary,ProjectInfo,SearchResult
FirebaseAnalytics,FirebaseAnalytics,Firebase,squanchy-dev/squanchy-android,"['/squanchy-dev_squanchy-android/app/src/main/java/net/squanchy/analytics/EnabledAnalytics.kt', '/squanchy-dev_squanchy-android/app/src/main/java/net/squanchy/analytics/AnalyticsModule.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,evercam/evercam-android,"['/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/video/VideoActivity.java', '/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/tasks/AddCameraTask.java', '/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/SignUpActivity.java', '/evercam_evercam-android/evercamPlay/src/main/java/io/evercam/androidapp/CamerasActivity.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,foobnix/LibreraReader,"['/foobnix_LibreraReader/app/src/main/java/org/ebookdroid/ui/viewer/VerticalViewActivity.java', '/foobnix_LibreraReader/app/src/main/java/com/foobnix/ui2/MainTabs2.java', '/foobnix_LibreraReader/app/src/main/java/com/foobnix/pdf/search/activity/HorizontalViewActivity.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,freshplanet/ANE-Push-Notification,"['/freshplanet_ANE-Push-Notification/ios/AirPushNotification.xcodeproj/project.pbxproj', '/freshplanet_ANE-Push-Notification/ios/AirPushNotification/AirPushNotification.m', '/freshplanet_ANE-Push-Notification/ios/Pods/Pods.xcodeproj/project.pbxproj', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification-acknowledgements.plist', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification-acknowledgements.markdown', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification.release.xcconfig', '/freshplanet_ANE-Push-Notification/ios/Pods/Target Support Files/Pods-AirPushNotification/Pods-AirPushNotification.debug.xcconfig', '/freshplanet_ANE-Push-Notification/ios/Pods/Manifest.lock', '/freshplanet_ANE-Push-Notification/ios/Podfile.lock', '/freshplanet_ANE-Push-Notification/build/platform-ios.xml']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,jeffdcamp/android-template,"['/jeffdcamp_android-template/app/src/main/kotlin/org/jdc/template/inject/AppModule.kt', '/jeffdcamp_android-template/app/src/main/kotlin/org/jdc/template/Analytics.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,lolevsky/Android-Clean-Architecture,"['/lolevsky_Android-Clean-Architecture/data/src/main/java/me/lolevsky/nasaplanetary/data/tracking/Tracking.java', '/lolevsky_Android-Clean-Architecture/presentation/src/main/java/me/lolevsky/nasaplanetary/di/DataModule.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,BreadKid/SearchItem,['/BreadKid_SearchItem/app/src/main/java/com/breadykid/searchitem/MainActivity.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,oasisfeng/island,"['/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/analytics/AnalyticsImpl.java', '/oasisfeng_island/shared/src/main/java/com/oasisfeng/island/analytics/Analytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,futurice/freesound-android,"['/futurice_freesound-android/app/src/main/java/com/futurice/freesound/feature/analytics/FirebaseAnalytics.kt', '/futurice_freesound-android/app/src/main/java/com/futurice/freesound/feature/analytics/AnalyticsModule.kt']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,traccar/traccar-manager-android,['/traccar_traccar-manager-android/app/src/google/java/org/traccar/manager/GoogleMainApplication.java']
