"id","repo","file_path","embed_method","content"
38,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","loadUri(Uri,boolean)","analyticsManager.report(FirebaseAnalytics.Event.VIEW_ITEM, FirebaseAnalytics.Param.ITEM_NAME, uri.toString())"
39,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_search"")"
40,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(FirebaseAnalytics.Event.SEARCH)"
41,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_open"")"
42,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(FirebaseAnalytics.Event.SELECT_CONTENT, FirebaseAnalytics.Param.CONTENT_TYPE, ""choose"")"
43,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_open_with"")"
44,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_share"")"
45,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_remove_ads"")"
46,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_fullscreen_leave"")"
47,"https://github.com/TomTasche/OpenDocument.droid","OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","onOptionsItemSelected(MenuItem)","analyticsManager.report(""menu_fullscreen_enter"")"
