id,repo,file_path,embed_method,content,,,,,,
374,https://github.com/wbaumann/SmartReceiptsLibrary,SmartReceiptsLibrary/app/src/main/java/co/smartreceipts/android/ocr/OcrManagerImpl.java,scan(File),analytics.record(Events.Ocr.OcrRequestStarted),,,,,,
901,https://github.com/edx/edx-app-android,edx-app-android/OpenEdXMobile/src/main/java/org/edx/mobile/module/analytics/AnalyticsRegistry.java,trackDownloadToSdCardSwitchOn(),service.trackDownloadToSdCardSwitchOn(),,,,,,
1273,https://github.com/StepicOrg/stepik-android,stepik-android/app/src/main/java/org/stepik/android/view/personal_deadlines/ui/dialogs/EditDeadlinesDialog.java,kotlin_cannot_identify,analytic.reportEvent(Analytic.Deadlines.PERSONAL_DEADLINE_TIME_OPENED) ,,,,,,
212,https://github.com/mozilla-tw/ScreenshotGo,ScreenshotGo/app/src/main/java/org/mozilla/scryer/sortingpanel/SortingPanelActivity.java,kotlin_cannot_identify,TelemetryWrapper.cancelSorting(MULTIPLE),,,,,,
1057,https://github.com/alexstyl/Memento-Calendar,Memento-Calendar/android_mobile/src/main/java/com/alexstyl/specialdates/donate/AndroidDonationService.java,"placeDonation(Donation,int,IabResult,Purchase)",analytics.trackDonationPlaced(donation),,,,,,
1002,https://github.com/seven332/EhViewer,EhViewer/app/src/main/java/com/hippo/ehviewer/ui/GalleryActivity.java,showSlider(View),mSeekBarPanelAnimator.start(),,,,,,
39,https://github.com/TomTasche/OpenDocument.droid,OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java,onOptionsItemSelected(MenuItem),"analyticsManager.report(""menu_search"")",,,,,,
798,https://github.com/1hakr/AnExplorer,AnExplorer/app/src/main/java/dev/dworks/apps/anexplorer/fragment/DirectoryFragment.java,"moveDocument(ArrayList,DocumentInfo,boolean)","AnalyticsManager.logEvent(""move_""+move, params)",,,,,,
56,https://github.com/TomTasche/OpenDocument.droid,OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java,"findDocument(DialogInterface,int)","analyticsManager.report(FirebaseAnalytics.Event.SELECT_CONTENT, FirebaseAnalytics.Param.CONTENT_TYPE, target.activityInfo.packageName)",,,,,,
806,https://github.com/1hakr/AnExplorer,AnExplorer/app/src/main/java/dev/dworks/apps/anexplorer/fragment/ConnectionsFragment.java,menuItemAction(MenuItem),"AnalyticsManager.logEvent(""add_ftp"")",,,,,,
827,https://github.com/RocketChat/Rocket.Chat.Android,Rocket.Chat.Android/app/src/main/java/chat/rocket/android/analytics/AnalyticsManager.java,kotlin_cannot_identify,"it.logSignUp(event, signUpSucceeded)",,,,,,
608,https://github.com/squanchy-dev/squanchy-android,squanchy-android/app/src/main/java/net/squanchy/analytics/EnabledAnalytics.java,kotlin_cannot_identify,setUserLoginProperty(LoginStatus.LOGGED_IN_ONBOARDING) ,,,,,,
318,https://github.com/antest1/kcanotify,kcanotify/app/src/main/java/com/antest1/kcanotify/MainActivity.java,"onCreate(Bundle,CompoundButton,boolean,CompoundButton,boolean,View)","sendUserAnalytics(getApplicationContext(), END_SERVICE, null)",,,,,,
87,https://github.com/blockchain/My-Wallet-V3-Android,My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/tiersplash/KycTierSplashFragment.java,kotlin_cannot_identify,logEvent(AnalyticsEvents.KycTier1Complete) ,,,,,,
1181,https://github.com/google/santa-tracker-android,santa-tracker-android/dasherdancer/src/main/java/com/google/android/apps/santatracker/dasherdancer/DasherDancerActivity.java,kotlin_cannot_identify,"MeasurementManager.recordCustomEvent( firebaseAnalytics, getString(R.string.analytics_category_interaction), characters[pager.currentItem].characterName, getString(R.string.analytics_action_swipe_right)) ",,,,,,
741,https://github.com/OneBusAway/onebusaway-android,onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/report/ui/ReportTypeListFragment.java,"onItemClick(AdapterView,?,View,int,long)","ObaAnalytics.reportUiEvent(mFirebaseAnalytics, getString(R.string.analytics_problem), getString(R.string.analytics_label_trip_problem))",,,,,,
1274,https://github.com/StepicOrg/stepik-android,stepik-android/app/src/main/java/org/stepik/android/view/course_list/ui/fragment/CourseListPopularFragment.java,kotlin_cannot_identify,analytic.reportEvent(Analytic.Error.FEATURED_EMPTY),,,,,,
1100,https://github.com/alexstyl/Memento-Calendar,Memento-Calendar/android_mobile/src/main/java/com/alexstyl/specialdates/analytics/CompositeAnalytics.java,kotlin_cannot_identify,it.trackAppInviteRequested(),,,,,,
