id,commit_fk,file_path,embed_method,change_type,content,content_update_from
1004,6775,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_SIGN_UP) ,
1005,6775,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_SIGN_IN) ,
1006,6775,app/src/main/java/org/stepic/droid/core/LoginManagerImpl.java,"failLogin(Throwable,FailLoginSupplementaryHandler)",LOG_DELETED,analytic.reportEvent(Analytic.Error.FAIL_LOGIN),
1007,6775,app/src/main/java/org/stepic/droid/core/LoginManagerImpl.java,"successLogin(Response,AuthenticationStepicResponse,ActivityFinisher,FailLoginSupplementaryHandler,Course)",LOG_DELETED,analytic.reportEvent(Analytic.Interaction.SUCCESS_LOGIN),
1008,6775,app/src/main/java/org/stepic/droid/core/presenters/LoginPresenter.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Error.UNPREDICTABLE_LOGIN_RESULT) ,
1009,6775,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.java,"createAccount(Call,RegistrationResponse,Response,RegistrationResponse,Call,RegistrationResponse,Throwable)",LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_REGISTER_BUTTON),
1010,6775,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.java,"createAccount(Call,RegistrationResponse,Response,RegistrationResponse,Call,RegistrationResponse,Throwable)",LOG_DELETED,analytic.reportEvent(FirebaseAnalytics.Event.SIGN_UP),
1011,6775,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Login.CLICK_REGISTRATION_SEND_IME) ,
1012,6775,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(FirebaseAnalytics.Event.SIGN_UP) ,
1058,7038,app/src/main/java/org/stepic/droid/core/presenters/InvitationPresenter.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.INVITATION_PREVENTED),
1013,6776,app/src/main/java/org/stepic/droid/ui/activities/LoginActivity.java,"onCreate(Bundle,TextView,int,KeyEvent,TextView,int,KeyEvent,View,View)",LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_SIGN_IN_ON_SIGN_IN_SCREEN),
1014,6776,app/src/main/java/org/stepic/droid/ui/activities/LoginActivity.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_SIGN_IN_NEXT_ON_SIGN_IN_SCREEN) ,
1015,6776,app/src/main/java/org/stepic/droid/ui/activities/LoginActivity.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_SIGN_IN_ON_SIGN_IN_SCREEN) ,
1016,6767,app/src/main/java/org/stepic/droid/notifications/LocalReminderImpl.kt,NILL,LOG_DELETED,analytic.reportEvent,
1017,6767,app/src/main/java/org/stepic/droid/notifications/LocalReminderImpl.kt,NILL,LOG_DELETED,(Analytic.Error.PENDING_INTENT_WAS_NULL),
1018,6782,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1019,6782,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,(Analytic.Screens.USER_OPEN_PROFILE),
1020,6784,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_DELETED,analytic.reportEvent,
1021,6784,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_DELETED,(Analytic.Profile.CLICK_OPEN_MY_PROFILE),
1022,6784,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1023,6784,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,(Analytic.Profile.CLICK_FULL_NAME_DRAWER),
1024,6784,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1025,6784,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,(Analytic.Profile.CLICK_OPEN_MY_PROFILE_IMAGE),
1026,6790,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1027,6790,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_STREAK_DRAWER),
1028,6798,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1029,6798,app/src/main/java/org/stepic/droid/ui/fragments/SectionsFragment.java,NILL,LOG_ADDED,(Analytic.Interaction.ACCEPT_DELETING_SECTION),
1030,6803,app/src/main/java/org/stepic/droid/ui/fragments/UnitsFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1031,6803,app/src/main/java/org/stepic/droid/ui/fragments/UnitsFragment.java,NILL,LOG_ADDED,(Analytic.Interaction.ACCEPT_DELETING_UNIT),
1032,6860,app/src/main/java/org/stepic/droid/ui/adapters/UnitAdapter.java,NILL,LOG_UPDATED,"analytic.reportEvent(Analytic.Interaction.CLICK_DELETE_LESSON, unit.getId() + """")","analytic.reportEvent(Analytic.Interaction.CLICK_DELETE_UNIT, unit.getId() + """")"
1033,6860,app/src/main/java/org/stepic/droid/ui/adapters/UnitAdapter.java,NILL,LOG_UPDATED,"analytic.reportEvent(Analytic.Interaction.CLICK_CANCEL_LESSON, unit.getId() + """")","analytic.reportEvent(Analytic.Interaction.CLICK_CANCEL_UNIT, unit.getId() + """")"
1034,6860,app/src/main/java/org/stepic/droid/ui/adapters/UnitAdapter.java,NILL,LOG_UPDATED,"analytic.reportEvent(Analytic.Interaction.CLICK_CACHE_LESSON, unit.getId() + """")","analytic.reportEvent(Analytic.Interaction.CLICK_CACHE_UNIT, unit.getId() + """")"
1035,6872,app/src/main/java/org/stepic/droid/base/StepBaseFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1036,6872,app/src/main/java/org/stepic/droid/base/StepBaseFragment.java,NILL,LOG_ADDED,(Analytic.Comments.OPEN_FROM_STEP_UI),
1037,6872,app/src/main/java/org/stepic/droid/ui/fragments/StepsFragment.java,NILL,LOG_ADDED,analytic.reportEvent,
1038,6872,app/src/main/java/org/stepic/droid/ui/fragments/StepsFragment.java,NILL,LOG_ADDED,(Analytic.Comments.OPEN_FROM_OPTION_MENU),
1039,6893,app/src/main/java/org/stepic/droid/ui/activities/UnitsActivity.java,NILL,LOG_DELETED,analytic.reportEvent,
1040,6893,app/src/main/java/org/stepic/droid/ui/activities/UnitsActivity.java,NILL,LOG_DELETED,(Analytic.Interaction.REFRESH_UNIT),
1041,6893,app/src/main/java/org/stepic/droid/ui/fragments/UnitsFragment.java,onRefresh(),LOG_ADDED,analytic.reportEvent(Analytic.Interaction.REFRESH_UNIT),
1042,6885,app/src/main/java/org/stepic/droid/ui/adapters/SocialAuthAdapter.java,NILL,LOG_ADDED,analytic.reportEvent,
1043,6885,app/src/main/java/org/stepic/droid/ui/adapters/SocialAuthAdapter.java,NILL,LOG_ADDED,(Analytic.Interaction.GOOGLE_SOCIAL_IS_NOT_ENABLED),
1044,6939,app/src/main/java/org/stepic/droid/web/RetrofitRESTApi.java,NILL,LOG_ADDED,analytic.reportEvent,
1045,6939,app/src/main/java/org/stepic/droid/web/RetrofitRESTApi.java,NILL,LOG_ADDED,(Analytic.Error.COOKIE_WAS_EMPTY),
1046,6973,app/src/main/java/org/stepic/droid/notifications/LocalReminderImpl.kt,NILL,LOG_ADDED,analytic.reportEvent,
1047,6973,app/src/main/java/org/stepic/droid/notifications/LocalReminderImpl.kt,NILL,LOG_ADDED,(Analytic.Error.PENDING_INTENT_WAS_NULL),
1048,6974,app/src/main/java/org/stepic/droid/services/LoadService.java,NILL,LOG_ADDED,analytic.reportEvent,
1049,6974,app/src/main/java/org/stepic/droid/services/LoadService.java,NILL,LOG_ADDED,(Analytic.DownloadManager.DOWNLOAD_MANAGER_IS_NOT_ENABLED),
1050,6974,app/src/main/java/org/stepic/droid/services/LoadService.java,NILL,LOG_ADDED,analytic.reportEvent,
1051,6974,app/src/main/java/org/stepic/droid/services/LoadService.java,NILL,LOG_ADDED,(Analytic.DownloadManager.DOWNLOAD_MANAGER_IS_NOT_ENABLED),
1052,7028,app/src/main/java/org/stepic/droid/notifications/NotificationBroadcastReceiver.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.Notification.STREAK_SWIPE_TO_CANCEL)\n            ,analytic.reportEvent(Analytic.Notification.STREAK_SWIPE_TO_CANCEL)
1053,7033,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_UPDATED,FirebaseCrash.report(throwable)\n        ,FirebaseCrash.report(throwable)
1054,7044,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
1055,7044,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Interaction.USER_OPEN_IMAGE),
1056,7044,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
